GgLabel,User,Type,Make,Model,SerialNo,SecurityId,Site,Status,PurchaseDate,Received,ShortComment,PC,Username,Date,ReportDate,PCLocation,EmplMailAdresse
1g7824,Chloe Hall,ioweae,Lenovo,T480s,U8A6TG4OCU,KNFVPC2YIE,Bergen,INSTOCK,2013-11-13,2014-11-11,damaged,PCL1001,John Woo,2024-09-02,2024-09-05,Stavanger,john.woo@contoso.com
1002,Zoe Martinez,PCL,Dell,Latitude 7340,TEZV97WYAL,FP2TXMP4CG,Bergen,INSTOCK,2024-06-03,2025-03-22,,PCL1002,John Svenson,2024-09-03,2024-09-06,Oslo,john.svenson@contoso.com
1003,Jack Harris,PC*,Dell,Precision 5690,NT9MBHE6QY,A9YS7O3KDA,Stavanger,INSTOCK,2014-04-26,2014-10-23,,PC1003,John Finch,2024-09-04,2024-09-07,Bergen,john.finch@contoso.com
1004,Amanda Wilson,PCL,Dell,Precision 5690,Z04AN8M9UA,DMO2O8DJMR,Sandefjord,NETWORKED,2022-08-30,2023-06-15,,PCL1004,John Page,2024-09-05,2024-09-08,Trondheim,john.page@contoso.com
1005,Layla Davis,PCL,Dell,Latitude 7350,LWZCSSVGSX,ZEK81JCOJR,Bergen,NETWORKED,2018-12-22,2019-10-16,damaged,PCL1005,John Klein,2024-09-06,2024-09-09,Kristiansand,john.klein@contoso.com
1006,Sarah Lewis,PCL,Lenovo,T480s,XDJ7BWG3RJ,BA6OTVXA6G,Stavanger,INSTOCK,2014-10-12,2015-04-21,,PC1006,John Long,2024-09-07,2024-09-10,Sandefjord,john.long@contoso.com
1007,Sophia Young,PCL,Lenovo,T490s,E5PLQR4L74,8P09K8VXMC,Oslo,NETWORKED,2024-06-26,2024-12-01,,PCL1007,John Braun,2024-09-08,2024-09-11,Stavanger,john.braun@contoso.com
1008,Sophia Young,PC*,Lenovo,T490s,J7UHGSWZ9K,H3KK4MDAJ6,Sandefjord,TERMINATED,2016-04-14,2016-10-03,,PCL1008,John Law,2024-09-09,2024-09-12,Oslo,john.law@contoso.com
1009,Eli Walker,PCL,Lenovo,T480s,FZ0Y1AZXHE,ULCFQTMZLV,Stavanger,TERMINATED,2024-12-06,2024-12-19,,PC1009,John Lohn,2024-09-10,2024-09-13,Bergen,john.lohn@contoso.com
1010,Amanda Wilson,PCL,Dell,Precision 5690,4DFLQ7E0BI,WZKTSFVUBE,Sandefjord,INSTOCK,2013-08-30,2014-01-16,,PCL1010,John Hunt,2024-09-11,2024-09-14,Trondheim,john.hunt@contoso.com
1011,Isabella King,PCL,Dell,Precision 5690,6C6AP45N45,DFSQYKGW85,Stavanger,NETWORKED,2015-03-26,2015-05-13,,PCL1011,John Park,2024-09-12,2024-09-15,Kristiansand,john.park@contoso.com
1012,Sophia Allen,PCL,HP,Elitebook 840 G2,1465XRKUZW,0GU56YR41H,Oslo,NETWORKED,2012-12-15,2013-11-19,,PC1012,John Zieg,2024-09-13,2024-09-16,Sandefjord,john.zieg@contoso.com
1013,David Young,PC*,HP,Elitebook 840 G5,WA8X9UY9IN,52027V8AK8,Oslo,NETWORKED,2014-01-21,2014-12-12,has been repaired,PCL1013,John Black,2024-09-14,2024-09-17,Stavanger,john.black@contoso.com
1014,Benjamin Wright,PCL,Lenovo,T490s,KYH6T51ZVN,087EZ1ZV39,Stavanger,NETWORKED,2022-03-04,2022-11-24,,PCL1014,John Lane,2024-09-15,2024-09-18,Oslo,john.lane@contoso.com
1015,Madison Perez,PCL,HP,Elitebook 840 G5,DEGIQS7ST9,PDP40UJH5A,Bergen,NETWORKED,2022-06-11,2023-02-01,,PC1015,John Jensen,2024-09-16,2024-09-19,Bergen,john.jensen@contoso.com
1016,Harper Clark,PCL,Dell,Latitude 7340,BE6ZQ3Q1KB,UAN66C0PT3,Bergen,TERMINATED,2012-03-09,2012-05-06,,PCL1016,John Moore,2024-09-17,2024-09-20,Trondheim,john.moore@contoso.com
1017,Amelia Mitchell,PCL,Lenovo,T480s,EZ9FV4WC36,DSRUHPENP0,Stavanger,INSTOCK,2023-09-10,2023-10-21,,PCL1017,John Koivu,2024-09-18,2024-09-21,Kristiansand,john.koivu@contoso.com
1018,Liam Carter,PCL,Lenovo,T480s,VTRQKADP9X,B0NJGXKXB0,Sandefjord,INSTOCK,2012-12-24,2013-12-21,,PC1018,John White,2024-09-19,2024-09-22,Sandefjord,john.white@contoso.com
1019,Olivia Walker,PCL,HP,Elitebook 840 G2,HFL2J2O33E,0M49TGUMHD,Bergen,INSTOCK,2021-11-23,2022-10-09,,PCL1019,John Munch,2024-09-20,2024-09-23,Stavanger,john.munch@contoso.com
1020,Lucas Allen,PCL,HP,Elitebook 840 G2,BWXV1TDQEQ,IR1SMO70LU,Stavanger,TERMINATED,2013-03-01,2013-06-03,,PCL1020,Jane Doe,2024-09-21,2024-09-24,Oslo,jane.doe@contoso.com
1021,Madison Perez,PC*,Lenovo,T480s,PZMXXN2D4T,RUMDVBOFB1,Sandefjord,INSTOCK,2017-11-02,2018-08-11,,PC1021,Jane Woo,2024-09-22,2024-09-25,Bergen,jane.woo@contoso.com
1022,Chloe Hall,PC*,Dell,Latitude 7350,7BEELRPS3B,H655QJX062,Stavanger,NETWORKED,2014-07-06,2014-07-29,,PCL1022,Jane Svenson,2024-09-23,2024-09-26,Trondheim,jane.svenson@contoso.com
1023,Alexander Adams,PCL,HP,Elitebook 840 G2,G9R81J67NC,MPF371P7GW,Bergen,NETWORKED,2015-01-17,2015-03-02,,PCL1023,Jane Finch,2024-09-24,2024-09-27,Kristiansand,jane.finch@contoso.com
1024,Zoe Martinez,PC*,Dell,Precision 5690,8O3EJN4I8W,67B53M8ZZN,Sandefjord,NETWORKED,2012-05-24,2012-10-11,,PC1024,Jane Page,2024-09-25,2024-09-28,Sandefjord,jane.page@contoso.com
1025,Avery Green,PCL,Lenovo,T480s,2T1RCOLA5W,AAARPX8Y2G,Sandefjord,TERMINATED,2019-10-23,2020-04-05,,PCL1025,Jane Klein,2024-09-26,2024-09-29,Stavanger,jane.klein@contoso.com
